G;Cartagena;40.439303;-3.672051;
G;Avenida de América;40.438154;-3.676407;0-0-0-3-0-1-0-0-2-0-0-0
G;Gregorio Marañón;40.438035;-3.691259;0-0-0-0-0-0-0-0-0-3-0-0
G;Alonso Cano;40.438507;-3.699438;
G;Canal;40.438628;-3.704231;0-5-0-0-0-0-0-0-0-0-0-0
G;Islas Filipinas;40.438971;-3.713018;
G;Guzmán el Bueno;40.446175;-3.712526;0-0-0-0-0-1-0-0-0-0-0-0
G;Francos Rodríguez;40.456738;-3.711974;
G;Valdezarza;40.464826;-3.715967;
G;Antonio Machado;40.470212;-3.719492;
G;Peñagrande;40.475781;-3.715927;
G;Avenida de la Ilustración;40.480079;-3.718337;
G;Lacoma;40.485001;-3.723097;
G;Arroyofresno;40.490903;-3.726066;
G;Pitis;40.495110;-3.725577;
H;Nuevos Ministerios;40.446363;-3.692928;0-0-0-0-0-2-0-0-0-2-0-0
H;Colombia;40.457253;-3.676969;0-0-0-0-0-0-0-0-1-0-0-0
H;Pinar del Rey;40.468042;-3.648033;
H;Mar de Cristal;40.469389;-3.638322;0-0-0-4-0-0-0-0-0-0-0-0
H;Feria de Madrid;40.463853;-3.616333;
H;Aeropuerto T1-T2-T3;40.467909;-3.571873;
H;Barajas;40.475825;-3.582637;
H;Aeropuerto T4;40.492469;-3.593333;
I;Paco de Lucía;40.499649;-3.708980;
I;Mirasierra;40.491070;-3.716334;
I;Herrera Oria;40.484671;-3.707667;
I;Barrio del Pilar;40.476349;-3.703285;
I;Ventilla;40.469591;-3.696040;
I;Plaza de Castilla;40.466910;-3.689213;8-0-0-0-0-0-0-0-0-1-0-0
I;Duque de Pastrana;40.467631;-3.679197;
I;Pío XII;40.462999;-3.675801;
I;Colombia;40.457253;-3.676969;0-0-0-0-0-0-0-1-0-0-0-0
I;Concha Espina;40.450766;-3.677636;
I;Cruz del Rayo;40.444465;-3.678227;
I;Avenida de América;40.438154;-3.676407;0-0-0-5-0-3-2-0-0-0-0-0
I;Núñez de Balboa;40.432792;-3.682525;0-0-0-0-4-0-0-0-0-0-0-0
I;Príncipe de Vergara;40.422934;-3.679744;0-7-0-0-0-0-0-0-0-0-0-0
I;Ibiza;40.418359;-3.677980;
I;Sainz de Baranda;40.416169;-3.669482;0-0-0-0-0-3-0-0-0-0-0-0
I;Estrella;40.410644;-3.659905;
I;Vinateros;40.410262;-3.652878;
I;Artilleros;40.405194;-3.641658;
I;Pavones;40.400495;-3.635200;
I;Valdebernardo;40.400814;-3.621450;
I;Vicálvaro;40.401183;-3.595666;
I;San Cipriano;40.403954;-3.603551;
I;Puerta de Arganda;40.401209;-3.595998;
I;Rivas Urbanizaciones;40.341707;-3.524949;
I;Rivas Futura;40.341707;-3.524949;
I;Rivas Vaciamadrid;40.328212;-3.520501;
I;La Poveda;40.319041;-3.477761;
I;Arganda del Rey;40.303904;-3.447522;
J;Hospital Infanta Sofía;40.559850;-3.611504;
J;Reyes Católicos;40.550757;-3.623262;
J;Baunatal;40.554321;-3.635200;
J;Manuel de Falla;40.550512;-3.646774;
J;Marqués de Valdavia;40.540802;-3.637737;
J;La Moraleja;40.531975;-3.635601;
J;La Granja;40.527723;-3.658669;
J;Ronda de la Comunicación;40.515558;-3.662264;
J;Las Tablas;40.508234;-3.670298;
J;Montecarmelo;40.505719;-3.695283;
J;Tres Olivos;40.501244;-3.695393;
J;Fuencarral;40.495162;-3.692329;
J;Begoña;40.482041;-3.685611;
J;Chamartín;40.471842;-3.682621;9-0-0-0-0-0-0-0-0-0-0-0
